編號,倉庫,分類,名稱,寬度mm,長度mm,形狀,五行,進貨總價,進貨數量(顆),進貨日期,進貨廠商,庫存(顆),單顆成本
ST0149,Imeng,天然石,冰曜石,3.0,0.0,切角,土,54.0,120.0,2025/12/10,TB-東吳天然石坊,-96.0,0.45
ST0147,Imeng,天然石,波斯瑪瑙,6.0,0.0,圓珠,土,350.0,45.0,2025/12/10,永安,45.0,7.78
ST0148,Imeng,天然石,波斯瑪瑙,8.0,0.0,圓珠,土,350.0,45.0,2025/12/10,永安,45.0,7.78
ST0161,Imeng,天然石,膠花,7.5,0.0,圓珠,土,49.0,60.0,2025/12/10,小聰頭,60.0,0.82
ST0150,Imeng,天然石,茶晶,5.0,0.0,切角,土,290.0,60.0,2025/12/10,Rich,60.0,4.83
ST0151,Imeng,天然石,茶晶,6.0,0.0,圓珠,土,200.0,60.0,2025/12/10,永安,61.0,3.275409836065574
ST0153,Imeng,天然石,虎眼石,8.0,0.0,圓珠,土,12.0,1.0,2025/12/10,Rich,1.0,12.0
ST0154,Imeng,天然石,虎眼石,10.0,0.0,圓珠,土,16.0,1.0,2025/12/10,Rich,3.0,17.333333333333332
ST0168,Imeng,天然石,金絲玉,9.0,0.0,圓珠,土,97.0,20.0,2025/12/10,小聰頭-13,20.0,4.85
ST0164,Imeng,天然石,金髮晶,3.0,0.0,切角,土,80.0,110.0,2025/12/10,TB-東吳天然石坊,110.0,0.73
ST0165,Imeng,天然石,金髮晶,6.5,0.0,圓珠,土,65.0,27.0,2025/12/10,小聰頭,27.0,2.41
ST0166,Imeng,天然石,金髮晶,7.0,0.0,圓珠,土,500.0,26.0,2025/12/10,小聰頭,26.0,19.23
ST0167,Imeng,天然石,金髮晶,8.0,0.0,圓珠,土,625.0,24.0,2025/12/10,小聰頭-千千,24.0,26.04
ST0169,Imeng,天然石,阿賽斯特萊,9.0,0.0,圓珠,土,59.0,16.0,2025/12/10,小聰頭,16.0,3.69
ST0159,Imeng,天然石,黃塔晶(雪花幽靈),6.0,0.0,圓珠,土,115.0,90.0,2025/12/10,小聰頭,90.0,1.28
ST0156,Imeng,天然石,黃水晶,5.5,0.0,切角,土,20.0,1.0,2025/12/10,Rich,1.0,20.0
ST0157,Imeng,天然石,黃水晶,6.0,0.0,圓珠,土,380.0,60.0,2025/12/10,永安,60.0,6.33
ST0158,Imeng,天然石,黃水晶,10.0,0.0,圓珠,土,800.0,35.0,2025/12/10,永安,35.0,22.86
ST0162,Imeng,天然石,黃澳寶,4.0,0.0,切角,土,133.0,100.0,2025/12/10,TB-東吳天然石坊,100.0,1.33
ST0160,Imeng,天然石,黃髮晶,6.0,0.0,圓珠,土,250.0,60.0,2025/12/10,永安,60.0,4.17
ST0163,Imeng,天然石,黃髮晶,8.0,0.0,圓珠,土,300.0,50.0,2025/12/10,永安,50.0,6.0
ST0283,Imeng,天然石,櫻花瑪瑙,7.0,0.0,鑽切,土火,236.0,48.0,2025/12/10,小聰頭,48.0,4.92
ST0284,Imeng,天然石,櫻花瑪瑙,7.5,0.0,鑽切,土火,101.0,25.0,2025/12/10,小聰頭,17.0,4.04
ST0285,Imeng,天然石,櫻花瑪瑙,7.5,0.0,圓珠,土火,9.0,1.0,2025/12/10,Rich,1.0,9.0
ST0319,Imeng,天然石,冰曜石,3.0,0.0,切角,木,110.0,100.0,2025-12-10,TB-東吳天然石坊,100.0,1.1
ST0001,Imeng,天然石,冰翠玉,3.0,0.0,切角,木,100.0,145.0,2025/12/10,TB-東吳天然石坊,145.0,0.69
ST0033,Imeng,天然石,天山翠,6.5,0.0,圓珠,木,77.0,82.0,2025/12/10,小聰頭,82.0,0.94
ST0034,Imeng,天然石,天河石,3.0,0.0,切角,木,99.0,135.0,2025/12/10,TB-東吳天然石坊,135.0,0.73
ST0035,Imeng,天然石,天河石,4.0,0.0,切角,木,200.0,95.0,2025/12/10,Rich,95.0,2.11
ST0036,Imeng,天然石,天河石,6.0,0.0,切角,木,92.0,58.0,2025/12/10,TB-Super Search,58.0,1.59
ST0037,Imeng,天然石,天河石,8.0,0.0,鑽切,木,113.0,44.0,2025/12/10,TB-Super Search,44.0,2.57
ST0038,Imeng,天然石,天河石,8.0,0.0,圓珠,木,400.0,40.0,2025/12/10,永安,41.0,10.121951219512194
ST0040,Imeng,天然石,天河石,6.5,11.0,長柱,木,160.0,6.0,2025/12/10,晶格格,38.0,19.47842105263157
ST0002,Imeng,天然石,東菱玉,5.0,0.0,切角,木,180.0,45.0,2025/12/10,Rich,45.0,4.0
ST0003,Imeng,天然石,東菱玉,6.0,0.0,切角,木,66.0,56.0,2025/12/10,TB-Super Search,56.0,1.18
ST0004,Imeng,天然石,東菱玉,8.0,0.0,切角,木,100.0,40.0,2025/12/10,TB-Super Search,40.0,2.5
ST0007,Imeng,天然石,橄欖石,3.0,0.0,切角,木,160.0,150.0,2025-12-14,TB-東吳天然石坊,339.0,1.755840707964602
ST0018,Imeng,天然石,瑪瑙,8.0,0.0,圓珠,木,0.0,1.0,2025/12/10,永安,1.0,0.0
ST0019,Imeng,天然石,瑪瑙,8.0,0.0,8角,木,250.0,40.0,2025/12/10,永安,40.0,6.25
ST0006,Imeng,天然石,碧璽,8.0,0.0,圓珠,木,550.0,20.0,2025/12/10,永安,20.0,27.5
ST0054,Imeng,天然石,祖母綠,0.0,0.0,圓珠,木,0.0,100.0,2025/12/10,永安,100.0,0.0
ST0043,Imeng,天然石,綠幽靈,7.0,0.0,圓珠,木,0.0,1.0,2025/12/10,XX,2.0,25.0
ST0045,Imeng,天然石,綠幽靈,8.0,0.0,圓珠,木,222.0,51.0,2025/12/10,TB-物物居,51.0,4.35
ST0046,Imeng,天然石,綠幽靈,9.0,0.0,圓珠,木,99.0,1.0,2025/12/10,Rich,1.0,99.0
ST0047,Imeng,天然石,綠幽靈,10.0,0.0,圓珠,木,320.0,2.0,2025/12/10,Rich,2.0,160.0
ST0030,Imeng,天然石,綠松石,3.0,0.0,切角,木,137.0,130.0,2025/12/10,TB-東吳天然石坊,130.0,1.05
ST0031,Imeng,天然石,綠松石,6.0,0.0,圓珠,木,40.0,60.0,2025/12/10,TB-Super Search,60.0,0.67
ST0032,Imeng,天然石,綠松石,8.0,0.0,圓珠,木,45.0,60.0,2025/12/10,TB-Super Search,60.0,0.75
ST0009,Imeng,天然石,綠草石,6.0,0.0,切角,木,65.0,55.0,2025/12/10,TB-Super Search,55.0,1.18
ST0010,Imeng,天然石,綠草莓,8.5,0.0,圓珠,木,108.0,22.0,2025/12/10,小聰頭-蒨,22.0,4.91
ST0013,Imeng,天然石,綠龍晶,6.5,0.0,圓珠,木,520.0,25.0,2025/12/10,Rich,25.0,20.8
ST0014,Imeng,天然石,綠龍晶,8.5,0.0,圓珠,木,164.0,4.0,2025/12/10,Rich,4.0,41.0
ST0015,Imeng,天然石,綠龍晶,9.0,0.0,圓珠,木,224.0,4.0,2025/12/10,Rich,5.0,56.0
ST0017,Imeng,天然石,綠龍晶,10.0,0.0,圓珠,木,144.0,2.0,2025/12/10,XX,2.0,72.0
ST0008,Imeng,天然石,花綠石,3.0,0.0,切角,木,75.0,120.0,2025/12/10,TB-東吳天然石坊,120.0,0.63
ST0042,Imeng,天然石,草莓晶,7.5,0.0,圓珠,木,10.0,1.0,2025/12/10,Rich,1.0,10.0
ST0020,Imeng,天然石,葡萄石,3.0,0.0,切角,木,85.0,120.0,2025-12-14,TB-東吳天然石坊,249.0,0.8027704485488126
ST0021,Imeng,天然石,葡萄石,4.0,0.0,切角,木,220.0,100.0,2025/12/10,Rich,100.0,2.2
ST0022,Imeng,天然石,葡萄石,5.0,4.0,切角,木,380.0,100.0,2025/12/10,Rich,100.0,3.8
ST0023,Imeng,天然石,葡萄石,6.0,0.0,切角,木,195.0,13.0,2025/12/10,晶格格,13.0,15.0
ST0024,Imeng,天然石,葡萄石,6.0,0.0,圓珠,木,120.0,60.0,2025/12/10,永安,60.0,2.0
ST0025,Imeng,天然石,葡萄石,7.5,0.0,圓珠,木,300.0,50.0,2025/12/10,永安,50.0,6.0
ST0026,Imeng,天然石,葡萄石,8.5,0.0,圓珠,木,300.0,50.0,2025/12/10,永安,51.0,6.529411764705882
ST0028,Imeng,天然石,葡萄石,10.0,0.0,圓珠,木,500.0,31.0,2025/12/10,永安,31.0,16.13
ST0029,Imeng,天然石,葡萄石,2.5,2.5,方體,木,97.0,31.0,2025/12/10,晶格格,31.0,3.13
ST0011,Imeng,天然石,藍綠晶,7.5,0.0,圓珠,木,606.0,25.0,2025/12/10,小聰頭,25.0,24.24
ST0012,Imeng,天然石,藍綠晶,8.0,0.0,圓珠,木,480.0,23.0,2025/12/10,小聰頭-蒨,23.0,20.87
ST0050,Imeng,天然石,藥王石,8.0,0.0,圓珠,木,50.0,24.0,2025/12/10,小聰頭,24.0,2.08
ST0051,Imeng,天然石,藥王石,8.5,0.0,圓珠,木,60.0,23.0,2025/12/10,小聰頭,23.0,2.61
ST0052,Imeng,天然石,藥王石,10.0,0.0,圓珠,木,158.0,36.0,2025/12/10,小聰頭,36.0,4.39
ST0053,Imeng,天然石,藥王石,8.0,0.0,方塊,木,99.0,13.0,2025/12/10,小聰頭,13.0,7.62
ST0048,Imeng,天然石,螢石,6.0,0.0,圓珠,木,150.0,60.0,2025/12/10,永安,60.0,2.5
ST0049,Imeng,天然石,螢石,8.0,0.0,圓珠,木,200.0,45.0,2025/12/10,永安,45.0,4.44
ST0005,Imeng,天然石,髮晶,0.0,0.0,圓珠,木,0.0,100.0,2025/12/10,永安,100.0,0.0
ST0207,Imeng,天然石,丹泉石,3.5,0.0,切角,水,5.0,1.0,2025/12/10,Rich,1.0,5.0
ST0243,Imeng,天然石,彼得石,12.0,0.0,圓珠,水,602.0,1.0,2025/12/10,小聰頭-千千,1.0,602.0
ST0228,Imeng,天然石,拉長石,3.0,0.0,切角,水,90.0,60.0,2025-12-14,XX,280.0,0.8410714285714286
ST0229,Imeng,天然石,拉長石,4.0,0.0,切角,水,230.0,95.0,2025/12/10,Rich,185.0,2.7556756756756755
ST0231,Imeng,天然石,拉長石,8.0,0.0,切角,水,385.0,45.0,2025/12/10,TB-軒閣珠寶,45.0,8.56
ST0232,Imeng,天然石,拉長石,6.0,0.0,圓珠,水,350.0,60.0,2025/12/10,永安,60.0,5.83
ST0233,Imeng,天然石,拉長石,8.0,0.0,圓珠,水,550.0,45.0,2025/12/10,永安,45.0,12.22
ST0215,Imeng,天然石,海藍寶,3.0,0.0,切角,水,115.0,120.0,2025-12-14,TB-東吳天然石坊,333.0,1.1316129032258064
ST0216,Imeng,天然石,海藍寶,3.8,0.0,切角,水,300.0,100.0,2025/12/10,Rich,100.0,3.0
ST0217,Imeng,天然石,海藍寶,5.5,0.0,切角,水,550.0,70.0,2025/12/10,Rich,70.0,7.86
ST0218,Imeng,天然石,海藍寶,6.0,0.0,切角,水,27.0,1.0,2025/12/10,Rich,1.0,27.0
ST0220,Imeng,天然石,海藍寶,6.0,0.0,圓珠,水,300.0,60.0,2025/12/10,永安,60.0,5.0
ST0221,Imeng,天然石,海藍寶,8.0,0.0,圓珠,水,550.0,50.0,2025/12/10,永安,97.0,6.474432989690722
ST0223,Imeng,天然石,海藍寶,10.0,0.0,圓珠,水,800.0,35.0,2025/12/10,永安,35.0,22.86
ST0219,Imeng,天然石,海藍寶(A),6.0,0.0,圓珠,水,350.0,60.0,2025/12/10,永安,60.0,5.83
ST0213,Imeng,天然石,火山岩,8.0,0.0,圓珠,水,150.0,45.0,2025/12/10,雪霖,45.0,3.33
ST0214,Imeng,天然石,火焰石,10.0,0.0,圓珠,水,65.0,36.0,2025/12/10,小聰頭,36.0,1.81
ST0269,Imeng,天然石,異極礦,9.0,0.0,圓珠,水,50.0,1.0,2025/12/10,小聰頭-千千,1.0,50.0
ST0247,Imeng,天然石,藍月光,3.0,3.4,方體,水,165.0,26.0,2025/12/10,永安,26.0,6.35
ST0208,Imeng,天然石,藍東菱玉,6.0,0.0,切角,水,85.0,50.0,2025/12/10,TB-Super Search,50.0,1.7
ST0209,Imeng,天然石,藍東菱玉,8.0,0.0,切角,水,85.0,40.0,2025/12/10,TB-Super Search,40.0,2.13
ST0244,Imeng,天然石,藍松石,8.0,0.0,圓珠,水,102.0,50.0,2025/12/10,TB-物物居,50.0,2.04
ST0236,Imeng,天然石,藍磷灰石,5.0,0.0,圓珠,水,118.0,60.0,2025/12/10,小聰頭-周三寶,60.0,1.97
ST0237,Imeng,天然石,藍磷灰石,6.0,0.0,圓珠,水,140.0,56.0,2025/12/10,小聰頭-周三寶,56.0,2.5
ST0238,Imeng,天然石,藍磷灰石,8.0,0.0,圓珠,水,450.0,46.0,2025/12/10,祥玥,46.0,9.78
ST0239,Imeng,天然石,藍磷灰石,3.0,0.0,切角,水,130.0,130.0,2025-12-14,TB-東吳天然石坊,374.0,1.0588235294117647
ST0240,Imeng,天然石,藍磷灰石(2A),4.0,0.0,切角,水,210.0,90.0,2025/12/10,Rich,90.0,2.33
ST0241,Imeng,天然石,藍磷灰石(A),7.0,10.0,長柱,水,580.0,33.0,2025/12/10,晶格格,39.0,18.97846153846153
ST0270,Imeng,天然石,藍紋石,6.0,0.0,切角,水,82.0,50.0,2025/12/10,TB-Super Search,26.0,1.64
ST0234,Imeng,天然石,藍綠晶,7.0,0.0,圓珠,水,397.0,26.0,2025/12/10,小聰頭-蒨,26.0,15.27
ST0235,Imeng,天然石,藍綠晶,7.5,0.0,圓珠,水,685.0,24.0,2025/12/10,小聰頭-蒨,24.0,28.54
ST0258,Imeng,天然石,金曜石,6.5,0.0,圓珠,水,175.0,65.0,2025/12/10,小聰頭,65.0,2.69
ST0259,Imeng,天然石,金曜石,8.0,0.0,圓珠,水,410.0,20.0,2025/12/10,石之靈,20.0,20.5
ST0260,Imeng,天然石,金曜石,10.0,0.0,圓珠,水,350.0,19.0,2025/12/10,Rich,19.0,18.42
ST0261,Imeng,天然石,金曜石,5.0,0.0,切角,水,150.0,45.0,2025/12/10,Rich,45.0,3.33
ST0262,Imeng,天然石,金曜石,7.0,0.0,切角,水,170.0,50.0,2025/12/10,Rich,50.0,3.4
ST0263,Imeng,天然石,金曜石,7.5,0.0,造型-鈴鐺珠,水,235.0,65.0,2025/12/10,,65.0,3.62
ST0227,Imeng,天然石,金運石,9.5,0.0,圓珠,水,90.0,1.0,2025/12/10,Rich,1.0,90.0
ST0268,Imeng,天然石,銀曜星球,8.0,0.0,圓珠,水,38.0,1.0,2025/12/10,Rich,1.0,38.0
ST0264,Imeng,天然石,銀曜石,8.0,0.0,圓珠,水,12.0,1.0,2025/12/10,Rich,1.0,12.0
ST0265,Imeng,天然石,銀曜石,9.0,0.0,圓珠,水,38.0,1.0,2025/12/10,Rich,1.0,38.0
ST0266,Imeng,天然石,銀曜石,11.0,0.0,圓珠,水,50.0,1.0,2025/12/10,Rich,1.0,50.0
ST0267,Imeng,天然石,銀曜石,9.0,11.0,桶珠,水,65.0,1.0,2025/12/10,Rich,1.0,65.0
ST0248,Imeng,天然石,銀月光,7.0,0.0,圓珠,水,88.0,26.0,2025/12/10,小聰頭-千千,26.0,3.38
ST0249,Imeng,天然石,銀月光,10.0,0.0,圓珠,水,49.0,19.0,2025/12/10,小聰頭,19.0,2.58
ST0204,Imeng,天然石,青金石,3.0,0.0,切角,水,135.0,140.0,2025/12/10,TB-東吳天然石坊,140.0,0.96
ST0205,Imeng,天然石,青金石,3.8,0.0,切角,水,230.0,100.0,2025/12/10,Rich,100.0,2.3
ST0206,Imeng,天然石,青金石,4.0,0.0,切角,水,320.0,120.0,2025/12/10,Rich,120.0,2.67
ST0224,Imeng,天然石,魔鬼海藍寶,7.0,0.0,圓珠,水,180.0,26.0,2025/12/10,Rich,26.0,6.92
ST0225,Imeng,天然石,魔鬼海藍寶,9.0,0.0,圓珠,水,300.0,21.0,2025/12/10,Rich,21.0,14.29
ST0226,Imeng,天然石,黑尖晶,3.0,0.0,切角,水,75.0,130.0,2025-12-17,TB-東吳天然石坊,283.0,0.5392932862190812
ST0250,Imeng,天然石,黑曜石,6.0,0.0,圓珠,水,80.0,60.0,2025/12/10,永安,72.0,1.345
ST0252,Imeng,天然石,黑曜石,8.0,0.0,圓珠,水,90.0,50.0,2025/12/10,永安,50.0,1.8
ST0253,Imeng,天然石,黑曜石,10.0,0.0,圓珠,水,100.0,30.0,2025/12/10,永安,30.0,3.33
ST0254,Imeng,天然石,黑曜石,5.0,0.0,切角,水,3.0,1.0,2025/12/10,Rich,1.0,3.0
ST0255,Imeng,天然石,黑曜石,7.0,0.0,切角,水,180.0,45.0,2025/12/10,Rich,45.0,4.0
ST0256,Imeng,天然石,黑曜石,9.0,0.0,切角,水,7.0,1.0,2025/12/10,Rich,1.0,7.0
ST0257,Imeng,天然石,黑曜石,8.5,9.0,桶珠,水,73.0,12.0,2025/12/10,小聰頭,12.0,6.08
ST0201,Imeng,天然石,黑碧璽,6.0,0.0,切角,水,350.0,60.0,2025/12/10,永安,60.0,5.83
ST0202,Imeng,天然石,黑碧璽,8.0,0.0,圓珠,水,450.0,50.0,2025/12/10,永安,50.0,9.0
ST0203,Imeng,天然石,黑碧璽,10.0,0.0,圓珠,水,450.0,35.0,2025/12/10,永安,35.0,12.86
ST0200,Imeng,天然石,黑碧璽(AA),6.0,0.0,圓珠,水,350.0,60.0,2025/12/10,永安,60.0,5.83
ST0245,Imeng,天然石,黑金骨幹太陽石,10.0,0.0,圓珠,水,99.0,20.0,2025/12/10,小聰頭,20.0,4.95
ST0246,Imeng,天然石,黑金骨幹太陽石,12.0,0.0,圓珠,水,99.0,19.0,2025/12/10,小聰頭,19.0,5.21
ST0210,Imeng,天然石,黑髮晶,3.0,0.0,切角,水,76.0,125.0,2025/12/10,TB-東吳天然石坊,125.0,0.61
ST0211,Imeng,天然石,黑髮晶,8.0,0.0,圓珠,水,580.0,23.0,2025/12/10,石之靈,46.0,15.914999999999996
ST0101,Imeng,天然石,太陽石,8.0,0.0,圓珠,火,70.0,1.0,2025/12/10,Rich,69.0,8.837681159420288
ST0103,Imeng,天然石,太陽石,3.0,0.0,切角,火,98.0,135.0,2025/12/10,TB-東吳天然石坊,135.0,0.73
ST0104,Imeng,天然石,太陽石,4.0,0.0,切角,火,250.0,100.0,2025/12/10,Rich,190.0,2.471578947368421
ST0106,Imeng,天然石,太陽石,6.0,0.0,圓珠,火,160.0,60.0,2025/12/10,Rich,60.0,2.67
ST0108,Imeng,天然石,太陽石(不透),8.0,0.0,圓珠,火,148.0,70.0,2025/12/10,小聰頭,70.0,2.11
ST0093,Imeng,天然石,摩根石,3.0,0.0,切角,火,98.0,125.0,2025/12/10,TB-東吳天然石坊,125.0,0.78
ST0094,Imeng,天然石,摩根石,6.0,0.0,圓珠,火,200.0,60.0,2025/12/10,永安,60.0,3.33
ST0095,Imeng,天然石,摩根石,8.0,0.0,圓珠,火,250.0,45.0,2025/12/10,永安,45.0,5.56
ST0096,Imeng,天然石,摩根石,6.0,0.0,切角,火,245.0,60.0,2025/12/10,TB-軒閣珠寶,120.0,3.665
ST0066,Imeng,天然石,果凍粉晶,8.0,0.0,圓珠,火,210.0,50.0,2025/12/10,TB-物物居,50.0,4.2
ST0136,Imeng,天然石,橙月光,3.0,0.0,切角,火,80.0,115.0,2025-12-14,TB-東吳天然石坊,335.0,0.6886567164179104
ST0137,Imeng,天然石,橙月光,8.0,0.0,圓珠,火,78.0,50.0,2025/12/10,小聰頭,50.0,1.56
ST0138,Imeng,天然石,煙紫玉隨,8.0,0.0,圓珠,火,59.0,23.0,2025/12/10,小聰頭,23.0,2.57
ST0139,Imeng,天然石,煙紫玉隨,10.0,0.0,圓珠,火,88.0,19.0,2025/12/10,小聰頭,19.0,4.63
ST0115,Imeng,天然石,狗牙紫晶,6.0,0.0,切角,火,150.0,60.0,2025/12/10,TB-軒閣珠寶,58.0,2.5
ST0116,Imeng,天然石,狗牙紫晶,8.0,0.0,切角,火,190.0,45.0,2025/12/10,TB-軒閣珠寶,41.0,4.22
ST0098,Imeng,天然石,石榴石,4.0,0.0,切角,火,160.0,0.0,2025/12/10,TB-東吳天然石坊,0.0,0.0
ST0099,Imeng,天然石,石榴石(7A),6.0,0.0,圓珠,火,350.0,28.0,2025/12/10,TB-鼎喜,56.0,12.5
ST0069,Imeng,天然石,粉奧寶,3.8,0.0,切角,火,180.0,100.0,2025/12/10,Rich,100.0,1.8
ST0062,Imeng,天然石,粉水晶,3.0,0.0,切角,火,67.0,115.0,2025-12-14,TB-東吳天然石坊,280.0,0.5
ST0067,Imeng,天然石,粉水晶,6.0,0.0,圓珠,火,80.0,60.0,2025/12/10,永安,60.0,1.33
ST0068,Imeng,天然石,粉水晶,8.0,0.0,圓珠,火,100.0,40.0,2025/12/10,永安,40.0,2.5
ST0087,Imeng,天然石,紅瑪瑙,6.0,0.0,切角,火,90.0,30.0,2025/12/10,TB-鼎喜,30.0,3.0
ST0089,Imeng,天然石,紅瑪瑙,8.0,0.0,切角,火,104.0,23.0,2025/12/10,TB-鼎喜,23.0,4.52
ST0088,Imeng,天然石,紅瑪瑙(7A),6.0,0.0,鑽切,火,100.0,30.0,2025/12/10,TB-鼎喜,30.0,3.33
ST0090,Imeng,天然石,紅瑪瑙(7A),8.0,0.0,鑽切,火,115.0,23.0,2025/12/10,TB-鼎喜,23.0,5.0
ST0083,Imeng,天然石,紅膠花,5.0,0.0,圓珠,火,124.0,98.0,2025/12/10,小聰頭,98.0,1.27
ST0084,Imeng,天然石,紅膠花,8.0,0.0,圓珠,火,79.0,24.0,2025/12/10,小聰頭,47.0,5.4040425531914895
ST0086,Imeng,天然石,紅膠花,8.5,0.0,圓珠,火,400.0,22.0,2025/12/10,小聰頭,22.0,18.18
ST0091,Imeng,天然石,紅花瑪瑙,6.0,0.0,切角,火,120.0,60.0,2025/12/10,TB-軒閣珠寶,58.0,2.0
ST0072,Imeng,天然石,紅鐵礦,8.0,0.0,切角,火,240.0,45.0,2025/12/10,TB-軒閣珠寶,41.0,5.33
ST0070,Imeng,天然石,紅髮晶,7.0,0.0,圓珠,火,540.0,25.0,2025/12/10,Rich,79.0,13.670886075949369
ST0140,Imeng,天然石,紫幽靈,8.0,0.0,圓珠,火,200.0,22.0,2025/12/10,Rich,119.0,7.561764705882352
ST0143,Imeng,天然石,紫幽靈,6.0,0.0,切角,火,200.0,60.0,2025/12/10,TB-軒閣珠寶,73.0,5.475890410958904
ST0145,Imeng,天然石,紫幽靈,8.0,0.0,切角,火,330.0,45.0,2025/12/10,TB-軒閣珠寶,45.0,7.33
ST0146,Imeng,天然石,紫幽靈,8.5,0.0,桶珠,火,19.0,1.0,2025/12/10,Rich,1.0,19.0
ST0117,Imeng,天然石,紫水晶,3.0,0.0,切角,火,100.0,50.0,2025-12-14,TB-東吳天然石坊,204.0,0.8695652173913043
ST0118,Imeng,天然石,紫水晶,8.0,0.0,切角,火,275.0,45.0,2025/12/10,TB-軒閣珠寶,140.0,6.142142857142857
ST0120,Imeng,天然石,紫水晶,10.0,0.0,圓珠,火,100.0,19.0,2025/12/10,小聰頭,19.0,5.26
ST0121,Imeng,天然石,紫水晶,6.0,0.0,切角,火,5.0,1.0,2025/12/10,Rich,61.0,2.540983606557377
